Designator,Comment,Description,Footprint,Quantity
"J8","USB-B","CONN-USB-TH: USB-B (USB TYPE-B) USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle","CONNB_USBR_12P04","1"
"J9","ANALOG OUT","CONN-AUDIO-TH: Switchcraft RCA Phono Connectors 2 POS RA PH JK R-W G","PJRAN2X1U01AUX","1"
"L1","2.2uH","L-SMT:  MWSA0503S-2R2MT Sunlord  
2.2uH ±20% 7A 29mO SMD,5.2x5.4x3.0mm Power Inductors RoHS","MWSA0518S-5.2x5.4","1"
"L2","DLW21HN900SQ2L","Murata 2 Line Common Mode Choke Surface Mount 90 Ohms @ 100MHz 330mA DCR 350mOhm","FIL_DLW21HN900SQ2L","1"
"LD1","3.3V","Chip Diode, EVERLIGHT 19-217/GHC-YR1S2/3T GREEN 520~535nm, 0603","LED_0603_EVERLIGHT_G_19-217/GHC-YR1S2/3T","1"
"LD2, LD3","WP130WCP/2EGW","LED-TH: Kingbright WP130WCP/2EGW T-1 (3 mm) Bi-Level Circuit Board Indicator","WP130WCP","2"
"R1","680k","CHIP RESISTOR 0603WAF6803T5E 680KOHMS ±1% 1/10W 0603 ROHS","0603","1"
"R2","150k","CHIP RESISTOR 0603WAF1503T5E 150KOHMS ±1% 1/10W 0603 ROHS","0603","1"
"R3, R4, R5, R6, R7","2.2k","0603WAF2201T5E CHIP RESISTOR - SURFACE MOUNT 2.2KOHMS ±1% 1/10W 0603 ROHS","0603","5"
"R8, R9, R10, R11, R15, R29, R30, R31","22","0603WAF220JT5E 22OHMS ±1% 1/10W 0603 ROHS","0603","8"
"R12, R19, R21","1.5k","0603WAF1501T5E 1.5KOHMS ±1% 1/10W 0603 ROHS","0603","3"
"R13, R16","10k","0603WAF1002T5E CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/10W 0603 ROHS","0603","2"
"R14","1M","0603WAF1004T5E CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/10W 0603 ROHS","0603","1"
"R17, R28","12.1k","0805W8F1212T5E CHIP RESISTOR - SURFACE MOUNT 12.1KOHMS ±1% 1/8W 0805 ROHS","0805-R","2"
"R18, R20, R22, R23","49.9","0603WAF499JT5E CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/10W 0603 ROHS","0603","4"
"R24, R25, R26, R27","75","0603WAF750JT5E CHIP RESISTOR - SURFACE MOUNT 75OHMS ±1% 1/10W 0603 ROHS","0603","4"
"R32","12k","0603WAF1202T5E CHIP RESISTOR - SURFACE MOUNT 12KOHMS ±1% 1/10W 0603 ROHS","0603","1"
"R33","22k","0603WAF2202T5E 
CHIP RESISTOR - SURFACE MOUNT 22KOHMS ±1% 1/10W 0603 ROHS","0603","1"
"R34, R35","470","0603WAF4700T5E CHIP RESISTOR - SURFACE MOUNT 470OHMS ±1% 1/10W 0603 ROHS","0603","2"
"R36, R37, R38, R39, R40, R41, R42, R43, R44","680","0805W8F6800T5E CHIP RESISTOR - SURFACE MOUNT 680OHMS ±1% 1/8W 0805 ROHS","0805-R","9"
"SW1, SW2","UK-B0228-G5-160-JZ","SW-PB-SMD: Tactile Pushbutton","UK-B0228-G5-160-JZ","2"
"TP1","VBUS","TESTPOINT SCOPE GRABBER","TESTPOINT","1"
"TP2","5V","TESTPAD","TESTPAD","1"
"TP3, TP5","3.3V","TESTPAD","TESTPAD","2"
"TP4, TP6","GND","TESTPAD","TESTPAD","2"
"TP7","3.3VA_ETH","TESTPAD","TESTPAD","1"
"TP8","3V3A_DAC","TESTPOINT SCOPE GRABBER","TESTPOINT","1"
"TP9","3V3_DAC","TESTPOINT SCOPE GRABBER","TESTPOINT","1"
"TP10","AGND_DAC","TESTPOINT SCOPE GRABBER","TESTPOINT","1"
"TP11","LRCLK","TESTPAD","TESTPAD","1"
"TP12","DIN","TESTPAD","TESTPAD","1"
"TP13","BCLK","TESTPAD","TESTPAD","1"
"U1","LPC54606J512BD100","IC-MCU-SMT: NXP ARM® Cortex®-M4 LPC546xx Microcontroller IC 32-Bit 180MHz 512KB (512K x 8) FLASH 100-LQFP (14x14)","LQFP100-50P1600X1600X160","1"
"U2","TPS62290DRVR","2.25MHz 1A Step-Down Converter in 2x2mm SON Package","DRV6_1P6X1","1"
"U3","24AA02E48-I/SN","2Kbit, 400kHz, 1.7V, I2C Serial EEPROM with EUI-48 Node Identity, 8-Pin SOIC 150mil, Industrial Temperature","SOIC-SN8_M","1"
"U4","LAN8742A","IC-ETH-SMT: Ethernet 10/100 Transceiver Full RMII 24-QFN-EP (4x4)","QFN50P400X400X100-25N-D","1"
"U5","SRV05-4P-T7","TVS Diode (Uni-directional)","SOT95P280X145-6N","1"
"U6, U7","XC6206P332MR","IC-PWR-SMT: LDO 3.3V 200mA SOT-23","SOT-23_TOR","2"
"U8","PCM5102APWR","IC-DAC-SMT: 112dB Audio Stereo DAC with PLL and 32-bit, 384 kHz PCM Interface","PW0020A_N","1"
"U9","74HC595D","NEXPERIA 74HC595","SOIC127P600X175-16N","1"
"Y1","12MHz","Yangxing Tech 12MHz ±10ppm 20pF 80O SMD-3225_4P SMD Crystal Resonators RoHS","SMD-3225_4P","1"
"Y2","25MHz","Yangxing Tech 25MHz ±10ppm 12pF 40O SMD-3225_4P SMD Crystal Resonators RoHS","X322525MOB4SI","1"
